Title,Job Title,Experience,Experience Categories,Company,Location,Skills
Financial Data Analyst,Data Analyst,0 Yrs,Freshers,Qube Research And Technologies,Mumbai,"macros, vba coding, vba, writing, investment, excel macros, financial markets, communication skills"
Junior Data Analyst,Data Analyst,0 Yrs,Freshers,ti Steps,"Hyderabad, Chennai, Bengaluru","Tableau, Machine Learning, Python, SQL, Excel, Data analysis, Machine, Data"
Data Entry Operator Data Analyst,Data Analyst,0 Yrs,Freshers,Saket Sen Gupta,New Delhi(IP Extension),"Data Entry Operation, English, Clerical Work, Back Office, Computer Operating, Data Processing, Excel Sheet, Good communication skills"
Sr . Data Analyst,Data Analyst,0 Yrs,Freshers,Highrise Solutions LLP,Pune,"BPO, RDBMS, Staffing, MySQL, Consulting, AS400, RPG, ITES"
Trainee- Data Analyst,Data Analyst,0 Yrs,Freshers,QL2 Software,Gurugram,"Technical Skills, Excel, Problem-Solving, Report Preparation, Data Analysis, Computer Skills, Data Reporting, Reporting"
Data Analyst,Data Analyst,0 Yrs,Freshers,Fireblaze Ai School,Ahmedabad,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL"
Data Analytics Data Analyst,Data Analyst,0 Yrs,Freshers,Ablycon Global Angalore,"Hyderabad, Bengaluru, Delhi / NCR","Data Analytics, Business Analytics, Power Bi, Artificial Intelligence, Data Interpretation, Data Management, Data Extraction, Tableau"
Sr . Executive Data Analyst,Data Analyst,0 Yrs,Freshers,Xpand,"Noida, Mumbai, New Delhi","Senior Executive, Data Analyst, SR, Data, Data analysis, Senior"
Hiring Data Analyst I Apply Today,Data Analyst,0 Yrs,Freshers,Probus Insurance Broker,Mumbai,"Data Analyst, Power Bi, Data Extraction, Tableau, SQL, excel, Data Analysis, Data Visualization"
Senior Data Governance Analyst,Data Governance Analyst,0 Yrs,Freshers,Tide Software,Bengaluru,"Health insurance, Administration, Data management, German, Data quality, Risk management, Analytics, Financial services"
Data Analyst,Data Analyst,0 Yrs,Freshers,Quantum Leap Consulting,Bengaluru,"Excel, BCom, Advanced Excel, Fresher, MBA, Data, Data analysis"
Senior Data Research Analyst,Other,0 Yrs,Freshers,Morningstar,Mumbai,"Data analysis, Manager Quality Assurance, Analytical, Data collection, Market research, Data quality, Asset management, Operations"
Doctors Medical Data Analyst Chennai,Data Analyst,0 Yrs,Freshers,Talentq Solutions,Chennai,"Doctor Activities, BDS, MBBS, BUMS, BPT, BAMS, BHS, Data"
Am Alts Pvt Data Mgmt & Ctrls - Analyst,Other,0 Yrs,Freshers,Goldman Sachs,Bengaluru,"Wealth management, Data management, Investment banking, Asset management, Investment management, Risk management, Operations, Financial services"
Data Analyst Reimbursement In Seller Reimbursements,Data Analyst,0 Yrs,Freshers,Amazon,Bengaluru,"Automation, SAS, Business analysis, Analytical, Account management, SPSS, Data mining, Monitoring"
Client Solutions Group Data Steward Analyst,Other,0 Yrs,Freshers,Goldman Sachs,Bengaluru,"Automation, Data management, Wealth management, Analytical, Mutual funds, Reconciliation, Asset management, Macros"
Data Analyst - Tableau,Data Analyst,0 Yrs,Freshers,KPI Partners,Pune,"Computer science, data cleansing, Data analysis, Data validation, Analytical, data governance, Data quality, Business intelligence"
Senior Data Analyst,Data Analyst,0 Yrs,Freshers,Luminar Technologies,New Delhi,"SQL queries, Manager Internal Audit, Interpersonal skills, power bi, Data Analyst, Data analytics, Management, Automotive"
Junior Data Analyst,Data Analyst,0 Yrs,Freshers,Emcee Pharmaceuticals,Kolkata,"Bengali, Data analysis, Computer application, Junior Data Analyst, Application, Data, Analysis, Computer"
Data Analyst - Tariff Ops,Data Analyst,0 Yrs,Freshers,Arcadia,Chennai,"SQL queries, Data analysis, Excel, Analog, Billing, Data Analyst, Medical insurance, Troubleshooting"
Data Analyst,Data Analyst,0 Yrs,Freshers,Aye Finance,Gurugram,"Data Entry, MIS, Data Analysis, Data, Analysis"
Junior Data Analyst,Data Analyst,0 Yrs,Freshers,Neev Advisory Research & Consultancy Services,Gurugram,"Excel, STATA, Packaging, M&A, Data Analyst, MS Word, SPSS, Research"
Client Data Analyst,Data Analyst,0 Yrs,Freshers,JPMorgan Chase Bank,Bengaluru,"RED, Due diligence, Service level, Compliance, Analytical, Anti money laundering, Data Analyst, Customer service"
Intern - Data Analyst,Data Analyst,0 Yrs,Freshers,Smytten,Ahmedabad,"Intern, VLOOKUP, Analytical, Data Analyst, Business intelligence, Digital marketing, Macros, Internship"
Analyst - Data Analytics,Other,0 Yrs,Freshers,AMERICAN EXPRESS,Gurugram,"Mining, Career development, Finance, Analytical, Data processing, Analytics, SQL, Data analysis"
Junior Data Analyst,Data Analyst,0 Yrs,Freshers,Invent Arc,Ahmedabad,"Computer science, Report generation, Data analysis, Statistical analysis, Machine learning, data visualization, Project execution, SQL"
Data Analyst,Data Analyst,0 Yrs,Freshers,Satin Creditcare Network,Gurugram,"Excel, Kannada, Pivot Table, SUMIF, Filters, Countif, VLOOKUP, Formulas"
Mis Executive And Data Analyst,Data Analyst,0 Yrs,Freshers,Returnonweb Consulting Services,Pune(Baner),"Pivot Table, Power Bi, VLOOKUP, Advanced Excel, HLOOKUP, Data Studio, Looker Studio, Dashboards"
Analyst-Data Science,Other,0 Yrs,Freshers,AMERICAN EXPRESS,Bengaluru,"Career development, data science, Analytical, Finance, Machine learning, Analytics, SQL, Python"
Product Data Management Data Analyst,Data Analyst,0 Yrs,Freshers,eClerx,Coimbatore,"Communication Skills, Engineering, Technical Skills, Data, Management, Data analysis, Product data management, Technical"
Data Analyst,Data Analyst,0 Yrs,Freshers,Log9 Materials,Bengaluru,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools"
Junior Business Data Analyst,Data Analyst,0 Yrs,Freshers,Acciojob,"Noida, Hyderabad, Pune","Excel, Power Bi, SQL, Python, Data, Data analysis, Business analysis, Bi"
Client Data Analyst Client Data Analyst,Data Analyst,0 Yrs,Freshers,JPMorgan Chase Bank,Bengaluru,"Operational risk, Compliance, Data collection, Workflow, Data Analyst, Management, MS Office, banking products"
Junior Data Analyst,Data Analyst,0 Yrs,Freshers,Thepharmadaily LLP,Mumbai,"Data analysis, Manager Quality Assurance, HCPCS, Medical billing, Medical coding, Process improvement, Life sciences, Pharmacovigilance"
Business Data Analyst 99Acres Mumbai 6 Months Contract,Data Analyst,0 Yrs,Freshers,Info Edge,Mumbai(Andheri East),"Power Bi, Reports And Dashboards, Data Visualization, Tableau, Data Analytics, Data Analysis, Reporting, Contracts"
Data Analyst Web Researcher,Data Analyst,0 Yrs,Freshers,Myvirtualdesks,Pune,"Data analysis, Web technologies, Data Analyst, Data analytics, data visualization, Management, Forecasting, Testing"
Trainee - Data Analyst,Data Analyst,0 Yrs,Freshers,Caratlane,Pune,"python, macros, data analysis, ms access, presentation skills, power bi, pivot table, vlookup"
Clinical Data Analyst- Internship- Biotech Biochem Microbio-,Data Analyst,0 Yrs,Freshers,Clininfotech,"Hyderabad/Secunderabad, Pune, Bengaluru","Clinical research, Internship, Pharma, Clinical Data Management, Biotechnology, Pharmaceutics, Microbiology, Pharmacology"
Data Analyst Business Analyst,Data Analyst,0 Yrs,Freshers,Satin Creditcare Network,"Gurugram, Delhi / NCR","Telugu, Advanced Excel, excel, reports, Business Analyst, insights, MIS, Data Analysis"
Reference Data Analyst,Data Analyst,0 Yrs,Freshers,JPMorgan Chase Bank,Bengaluru,"Analytical skills, MIS reporting, Data analysis, Standard operating procedures, Data Analyst, Advanced Excel, Powerpoint, client onboarding"
Banking Data Analyst Immediate Joiner,Data Analyst,0 Yrs,Freshers,Teamware Solutions,Bengaluru,"Communication Skills, Excel, Data Analyst, Pivot Table, VLOOKUP, Advanced Excel, Fresher Hiring, HLOOKUP"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,99plus It Solutions,Vadodara,"Data Analyst, Data analysis, Data"
Contract Data Analyst,Data Analyst,0-2 Yrs,Freshers,Enlighta Solutions,Mumbai,"QA, Manager Quality Assurance, Web technologies, Functional testing, Compliance management, Data Analyst, Solution Analyst, Software solutions"
Lcm Data Analyst,Data Analyst,0-2 Yrs,Freshers,ION,Mumbai,"Supply chain, electronic trading, Data management, Fixed income, Automation tools, Data quality, Manager Quality Control, Analytics"
Senior Data Analyst,Data Analyst,0-2 Yrs,Freshers,FedEx,Chennai,"Data analysis, Manager Quality Assurance, fedex, Data modeling, MIS, Genetics, Data Analyst, Business solutions"
Data - Analyst,Other,0-2 Yrs,Freshers,Justlead.in,"Noida, Chandigarh, Lucknow, Gurugram","Data Analyst, Analysis, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Mid Source Tech,Hyderabad,"Data analysis, Data modeling, Coding, Process improvement, data governance, Linguistics, Market research, HR"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Diverse Lynx,Pune,"Change management, VBA, MIS, Billing, AS400, Data Analyst, Project life cycle, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Clinaarc Clinical Datamanagement,Nagpur,"Data Analyst, Data analysis, Data"
Client Data Analyst - Ecm Alpha,Data Analyst,0-2 Yrs,Freshers,ION,Mumbai,"Supply chain, data cleansing, Automation, electronic trading, Excel, Finance, Data Analyst, Macros"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Ekshvaku Tech Innovations,Rajendranagar,"Data Analyst, Data, Data analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Tech Turmeric Services,"Mumbai, Malda","IT services, Excel, Client relationship management, Accounting, Process improvement, Reconciliation, query, PHP"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,STP Research,New Delhi,"Data Analyst, Data analysis, Data"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Square Yards,Gurugram,"tableau, CSS, jQuery, Google Analytics, MySQL, Javascript, power bi, HTML"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Zecotok,Panchkula,"Data analysis, Programming, Data Analyst, SQL, Python, Program, Data, Analysis"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Codelynks Software Solutions (P) Ltd,Kochi,"Data analysis, Postgresql, Analytical, Process improvement, MySQL, Consulting, Machine learning, SQL"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Fusion Plus Solutions,Hyderabad,"splunk, Data Analyst, Troubleshooting, SQL, Data analysis, Data"
Data Analyst - Cryptoforensic,Data Analyst,0-2 Yrs,Freshers,C3i Hub,Kanpur,"Publishing, GIT, Linux, Coding, Architectural design, MongoDB, Distribution system, Python"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Fusion Plus Solutions,Hyderabad,"Telecom, splunk, Data Analyst, Troubleshooting, SQL, Data analysis, Data"
Senior Data Analyst,Data Analyst,0-2 Yrs,Freshers,The Hackett Group,Hyderabad,"Exploratory Data Analysis, Power Bi, Advanced Excel, Statistics, SPSS, Python, Data, Data analysis"
Climate Data Analyst,Data Analyst,0-2 Yrs,Freshers,T.EN GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra","Data analysis, Data management, LNG, Talent acquisition, Competitive analysis, Analytical, TPS, Machine learning"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Midland Channel Management,Gurugram,"Automation, Data analysis, Data management, Advanced Excel, data visualization, Continuous improvement, Principal, Monitoring"
Data Analyst,Data Analyst,0-2 Yrs,Freshers,Maruti True Value,New Delhi,"SAS, data security, Analytical, Machine learning, Customer retention, Data collection, Marketing operations, Principal"
Healthcare Data Analyst,Data Analyst,0-2 Yrs,Freshers,Infosys,Bengaluru,"data mapping, plsql, sql, healthcare data, data profiling, c#, ansi x2, css"
