Title,Company,Experience,Location,Salary,Skills
"Data Analyst-Mapping, Modelling",Capco,1-6 Yrs,Bengaluru,Not Mentioned,"data analysis, data management, data mapping, data profiling, sit, management consulting, python, data analytics"
Planning Data Analyst,Pfizer,0-6 Yrs,Chennai,Not Mentioned,"CRO, PMP, Business objects, Clinical research, Scheduling, Project planning, Resource management, Continuous improvement"
Data Analyst,Confidential,4-8 Yrs,Chennai,Not Mentioned,"Nprinting, Qlik Nprinting, Qlik Sense Development, QlikView, Qlik, Data analysis, Data, Development"
Data Analyst,Vummidi Bangaru Jewellers (VBJ),5-7 Yrs,Chennai,Not Mentioned,"Data Analysis, Data Visualization, Marketing Analytics, Adobe Analytics, SQL, Google Analytics, Power Bi, Web Analytics"
Data Analyst,TEKsystems,8-13 Yrs,Hyderabad,Not Mentioned,"Power Bi, Data Analysis, Advance Sql, SQL, Analysis, Bi, Data"
Data Analyst,Sia Partners,3-8 Yrs,Mumbai,Not Mentioned,"Computer science, French, Analytical, Data Analyst, Corporate finance, SSIS, Business intelligence, microsoft"
Data Analyst with ETL Expert,Eice Technology,3-5 Yrs,Noida,Not Mentioned,"ETL Development, Python, Azure, XML, Data Analyst, JSON, AWS, REST APIs"
Data Analyst (Python),Crisil,0-3 Yrs,"Hyderabad, Pune",Not Mentioned,"companies act, office, accounting, microsoft, corporate finance, sql, java, listing agreement"
Data Analyst I,Solera,2-7 Yrs,Bengaluru,Not Mentioned,"Ticketing, Automation, Excel, Analytical, Troubleshooting, SSIS, Operations, Software services"
Data Analyst I,Dealersocket,2-7 Yrs,Bengaluru,Not Mentioned,"Ticketing, Automation, Excel, Analytical, Troubleshooting, SSIS, Operations, Software services"
Data Analyst,Honeybee Tech Solutions,4-9 Yrs,Gurugram,Not Mentioned,"Automation, Data Analyst, macro, data analysis, Data, Analysis, Macros"
Data Analyst,Satin Creditcare Network,1-5 Yrs,Gurugram,Not Mentioned,"Advanced Excel, Kannada, reports, Countif, Business Analyst, insights, Formulas, Conditional Formatting"
Data Analyst,Kennect Solutions,2-4 Yrs,Mumbai,Not Mentioned,"MongoDB, Excel, JavaScript, data processing, Data Analysis, Data Analyst, Data, Process"
Data Analyst,Cengage Learning India,3-8 Yrs,Noida,Not Mentioned,"SQL, Excel, Power Bi, Advanced Excel, Informatica, Python, Data analysis, Data"
Data Analyst,curious for tomorrow,10-20 Yrs,Hyderabad,Not Mentioned,"Investment Banking, Data Analysis, Data Visualization, Python, Capital Market, Power Bi, Equity, Derivatives"
Data Analyst,Sodexo Food Solutions India Pvt. Ltd.ces,4-5 Yrs,Ahmedabad,Not Mentioned,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
Data Analyst,"NTT DATA, Inc.",3-8 Yrs,Pune,Not Mentioned,"data analysis, data analytics, data engineering, analysis tools, software engineering, python, data manipulation, talend"
